iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
LAO,30,23046616,19166642,17976807,251449,36543,56022,87218,64347,68436,122890,133208,80754,145830,167412,131175,147779,205923,244242,285481,388725,349678,295107
LAO,50,23046616,18160760,17050298,231596,34281,52491,83982,61744,67063,118432,129562,78184,141262,163745,126022,140369,193249,227543,268457,365239,325686,274979
LAO,75,23046616,14528488,13717775,166810,27552,40896,66906,49190,57279,96102,108902,65568,117629,142458,105445,112048,142767,161989,196816,264558,229504,193687
LBN,10,1029487,95060,75692,262,312,93,91,124,324,164,296,426,365,128,163,199,212,192,207,336,388,344
LBN,15,1029487,83100,69142,223,311,90,89,121,318,160,288,416,360,123,156,190,192,185,199,320,360,318
LBN,20,1029487,78307,67611,209,307,87,85,115,311,156,281,404,351,120,146,180,183,176,191,304,337,295
LBN,25,1029487,71363,60765,187,301,82,83,112,301,150,274,398,343,116,141,176,170,168,181,286,312,273
LBN,30,1029487,65664,58154,180,299,80,82,112,301,147,273,396,343,113,140,173,162,160,173,268,288,256
LBN,50,1029487,44313,34795,108,261,54,65,83,241,113,217,329,291,92,108,129,107,119,130,179,188,177
LBN,75,1029487,19222,16197,72,171,28,33,38,129,55,119,212,185,41,61,76,41,51,60,76,73,71
LBR,10,9613938,9562602,9550497,106884,29328,57225,21788,6267,11374,36489,44590,36456,75496,20460,34631,72550,157031,166067,187417,169971,205055,207096
LBR,15,9613938,9539183,9521359,104788,29320,57217,21775,6267,11374,36472,44571,36436,75472,20456,34623,72523,156929,165922,187308,169864,204957,206954
LBR,20,9613938,9466591,9428048,100289,29304,57182,21723,6261,11364,36408,44500,36354,75406,20436,34585,72431,156542,165351,187004,169548,204555,206366
LBR,25,9613938,9453917,9408928,99174,29294,57169,21707,6261,11359,36394,44484,36334,75388,20432,34570,72405,156431,165198,186911,169452,204435,206215
LBR,30,9613938,9404991,9303534,95061,29250,57110,21647,6251,11345,36298,44389,36251,75293,20401,34519,72273,155886,164414,186420,168939,203766,205400
LBR,50,9613938,9074559,8423425,77465,28614,55940,21041,6134,11034,35157,43212,35219,73846,19979,33734,70308,148308,155820,179298,161109,194330,195985
LBR,75,9613938,3619034,3044398,20032,14466,24333,8761,2482,3888,12645,15909,11347,27914,9233,11412,18514,18442,20265,26900,19776,25805,24527
